id, name, gender, ethnicity
n000001, 14th Dalai Lama, male, East Asian
n000002, A Fine Frenzy, female, Caucasian (North American)
n000003, A. A. Gill, male, Caucasian (European)
n000004, A. J. Buckley, male, Caucasian (North American)
n000005, A. J. Pierzynski, male, Caucasian (North American)
n000006, A. R. Rahman, male, South Asian
n000010, Aamani, female, South Asian
n000011, Aamna Sharif, female, South Asian
n000012, Aaron Ashmore, male, Caucasian (North American)
n000013, Aaron Hernandez, male, Hispanic
n000014, Aaron Lennon, male, African
n000015, Aaron Motsoaledi, male, African
n000016, Aaron Ramsey, male, Caucasian (European)
n000017, Aaron Rodgers, male, Caucasian (North American)
n000018, Aaron Schock, male, Caucasian (North American)
n000019, Aaron Stanford, male, Caucasian (North American)
n000020, Aaron Taylor-Johnson, male, Caucasian (European)
n000021, Aaron Tippin, male, Caucasian (North American)
n000022, Aarti Chhabria, female, South Asian
n000024, Abbey Clancy, female, Caucasian (European)
n000025, Abby Elliott, female, Caucasian (North American)
n000026, Abdelaziz Bouteflika, male, Arab
n000029, Abdullah II of Jordan, male, Arab
n000031, Abel Braga, male, Caucasian (European)
n000032, Abhay Deol, male, South Asian
n000033, Abhinav Bindra, male, South Asian
n000034, Abou Diaby, male, African
n000035, Abu Qatada, male, Arab
n000037, Aby Rosen, male, Caucasian (European)
n000038, Aca Lukas, male, Caucasian (European)
n000042, Ada Yonath, male, Caucasian (European)
n000044, Adal Ramones, male, Hispanic
n000045, Adam Alsing, male, Caucasian (European)
n000046, Adam Ashley-Cooper, male, Caucasian (Australian)
n000047, Adam Bandt, male, Caucasian (Australian)
n000048, Adam Boniecki, male, Caucasian (European)
n000049, Adam Darski, male, Caucasian (European)
n000050, Adam Duritz, male, Caucasian (North American)
n000051, Adam Gilchrist, male, Caucasian (Australian)
n000052, Adam Housley, male, Caucasian (North American)
n000053, Adam Irigoyen, male, Hispanic
n000054, Adam Johnson, male, Caucasian (European)
n000055, Adam Lallana, male, Caucasian (European)
n000056, Adam Liaw, male, East Asian
n000057, Adam Michnik, male, Caucasian (European)
n000059, Adam Pascal, male, Caucasian (North American)
n000060, Adam Richman, male, Caucasian (North American)
n000061, Adam Rodr�guez, male, Hispanic
n000062, Adam Schiff, male, Caucasian (North American)
n000063, Adam Senn, male, Caucasian (North American)
n000064, Adam Silver, male, Caucasian (North American)
n000065, Adam Sztaba, male, Caucasian (European)
n000066, Adam Yauch, male, Caucasian (North American)
n000067, Adamari L�pez, female, Hispanic
n000068, Addison Timlin, female, Caucasian (North American)
n000069, Additi Gupta, female, South Asian
n000070, Adel Taarabt, male, Arab
n000071, Adele Silva, female, Caucasian (European)
n000072, Adelina Ismajli, female, Caucasian (European)
n000073, Adelinde Cornelissen, female, Caucasian (European)
n000074, Aden Young, male, Caucasian (Australian)
n000075, Aderbal Freire Filho, male, Hispanic
n000076, Adewale Akinnuoye-Agbaje, female, African
n000077, Adhyaksa Dault, male, South Asian
n000078, Adhyayan Suman, male, South Asian
n000079, Adil Rami, male, Caucasian (European)
n000080, Aditi Rao Hydari, male, South Asian
n000081, Aditya Roy Kapur, male, South Asian
n000082, Aditya Seal, male, South Asian
n000083, Aditya Srivastava, male, South Asian
n000084, Aditya Thackeray, male, South Asian
n000085, Admir Mehmedi, male, Caucasian (European)
n000086, Adnan Sami, male, South Asian
n000087, Adrian Newey, male, Caucasian (European)
n000088, Adrian Pasdar, male, Caucasian (North American)
n000089, Adrian Sutil, male, Caucasian (European)
n000090, Adriana Ugarte, female, Caucasian (European)
n000091, Adriana Vasini, female, Hispanic
n000092, Adrianna Costa, female, Caucasian (North American)
n000093, Adrianne Le�n, female, Hispanic
n000094, Adriano Leite Ribeiro, male, Hispanic
n000095, Adriean Videanu, male, Caucasian (European)
n000096, Adrien Broner, male, African American
n000097, Adrienne Bailon, female, Hispanic
n000098, Adrienne Frantz, female, Caucasian (North American)
n000099, Adrienne Janic, female, Hispanic
n000100, Adrienne Maloof, female, Caucasian (North American)
n000101, Ad�n Ch�vez, male, Hispanic
n000103, Aftab Shivdasani, male, South Asian
n000104, Agata Buzek, female, Caucasian (European)
n000105, Agata Kulesza, female, Caucasian (European)
n000107, Agnes Zawadzki, female, Caucasian (North American)
n000108, Agneta Sj�din, female, Caucasian (European)
n000109, Agnieszka Grochowska, female, Caucasian (European)
n000110, Agnieszka Maciag, female, Caucasian (European)
n000112, Agnieszka Wagner, female, Caucasian (European)
n000114, Agn�s Jaoui, female, Caucasian (European)
n000115, Agot Isidro, female, Hispanic
n000117, Agus Martowardojo, male, South Asian
n000118, Agustina Cherri, female, Hispanic
n000119, Agustina Cordova, female, Hispanic
n000120, Agust�n Carstens, male, Hispanic
n000121, Agust�n Creevy, male, Hispanic
n000122, Agust�n Ori�n, male, Hispanic
n000126, Ahmad Zahid Hamidi, male, South Asian
n000127, Ahmed Elmohamady, male, Arab
n000128, Ahmed Shehzad, male, South Asian
n000131, Ahmet �akar, male, Caucasian (European)
n000132, Ahn Jae-wook, male, East Asian
n000134, Ai Fukuhara, female, East Asian
n000135, Ai Kato, female, East Asian
n000136, Ai Miyazato, female, East Asian
n000137, Ai Sugiyama, female, East Asian
n000138, Ai Takahashi, female, East Asian
n000139, Ai Tominaga, female, East Asian
n000140, Ai-Ai de las Alas, female, Hispanic
n000141, Aiden McGeady, male, Caucasian (European)
n000142, Aidan Turner, male, Caucasian (European)
n000143, Aika Oota, female, East Asian
n000144, Aimee Mullins, female, Caucasian (North American)
n000145, Aimee Teegarden, female, Caucasian (North American)
n000146, Aindrita Ray, female, South Asian
n000148, Airi Suzuki, female, East Asian
n000149, Aishwarya Rai Bachchan, female, South Asian
n000150, Aitana S�nchez-Gij�n, female, Caucasian (European)
n000151, Aitor Karanka, male, Caucasian (European)
n000154, Ajay Devgan, male, South Asian
n000155, Ajay Rochester, female, Caucasian (Australian)
n000156, Ajda Pekkan, female, Caucasian (European)
n000157, Ajit Pawar, male, South Asian
n000160, Aki Hoshino, female, East Asian
n000161, Akio Toyoda, male, East Asian
n000162, Akkaphan Namart, male, East Asian
n000163, Akkineni Nagarjuna, male, South Asian
n000164, Aksel Lund Svindal, male, Caucasian (European)
n000166, Al Bano Carrisi, male, Caucasian (European)
n000167, Al Franken, male, Caucasian (North American)
n000168, Al Golden, male, Caucasian (North American)
n000169, Al Jarreau, male, African American
n000170, Al Murray, male, Caucasian (European)
n000171, Al Roker, male, African American
n000172, Al Sharpton, male, African American
n000173, Al-Farouq Aminu, male, African
n000174, Alain Barri�re, male, Caucasian (European)
n000175, Alain Finkielkraut, male, Caucasian (European)
n000176, Alain Jupp�, male, Caucasian (European)
n000177, Alain Minc, male, Caucasian (European)
n000178, Alain Traor�, male, African
n000179, Alain Vigneault, male, Caucasian (North American)
n000180, Alaina Huffman, female, Caucasian (North American)
n000182, Alan Dzagoev, male, Caucasian (European)
n000183, Alan Hutton, male, Caucasian (European)
n000184, Alan Mulally, male, Caucasian (North American)
n000185, Alan Pardew, male, Caucasian (European)
n000186, Alan Shearer, male, Caucasian (European)
n000187, Alan Sugar, male, Caucasian (European)
n000188, Alana Curry, female, Caucasian (North American)
n000189, Alana Nichols, female, Caucasian (North American)
n000191, Alassane Ouattara, male, African
n000192, Alastair Cook, male, Caucasian (European)
n000193, Albert Boadella, male, Caucasian (European)
n000195, Albert Pujols, male, Hispanic
n000196, Albert Ramos, male, Caucasian (European)
n000197, Albert Sosnowski, male, Caucasian (European)
n000198, Alberto Del Rio, male, Hispanic
n000199, Alberto Fujimori, male, East Asian
n000201, Alberto Malesani, male, Caucasian (European)
n000202, Alberto N��ez Feij�o, male, Caucasian (European)
n000203, Alberto Ruiz-Gallard�n, male, Caucasian (European)
n000204, Alberto San Juan, male, Caucasian (European)
n000205, Albie Casi�o, male, Hispanic
n000206, Aldo Rebelo, male, Hispanic
n000207, Aldo de Nigris, male, Hispanic
n000208, Alec Burks, male, African American
n000210, Alejandra Barros, female, Hispanic
n000211, Alejandro Chab�n, male, Hispanic
n000212, Alejandro Escovedo, male, Hispanic
n000213, Alejandro Falla, male, Hispanic
n000214, Alejandro Fern�ndez, male, Hispanic
n000215, Alejandro Gonz�lez I��rritu, male, Hispanic
n000216, Alejandro Sabella, male, Hispanic
n000218, Alejandro Tous, male, Caucasian (European)
n000219, Alejo Sauras, male, Hispanic
n000220, Alek Wek, male, African
n000221, Aleks Syntek, male, Hispanic
n000226, Aleksandr Kokorin, male, Caucasian (European)
n000227, Aleksandra Kisio, female, Caucasian (European)
n000231, Alela Diane, female, Caucasian (North American)
n000232, Alena Zavarzina, female, Caucasian (European)
n000234, Alesha Dixon, female, African
n000235, Alesia Raut, female, South Asian
n000236, Alessandra Amoroso, female, Caucasian (European)
n000237, Alessandra Facchinetti, female, Caucasian (European)
n000238, Alessandra Mastronardi, female, Caucasian (European)
n000241, Alessandro Del Piero, male, Caucasian (European)
n000242, Alessandro Nesta, male, Caucasian (European)
n000243, Alessandro Nivola, male, Caucasian (European)
n000244, Alessandro Profumo, male, Caucasian (European)
n000245, Alessandro Safina, male, Caucasian (European)
n000246, Alessandro Sartori, male, Caucasian (European)
n000247, Alessia Filippi, female, Caucasian (European)
n000249, Alessio Boni, male, Caucasian (European)
n000250, Alessio Cerci, male, Caucasian (European)
n000253, Alex Cora, male, Hispanic
n000254, Alex Ebert, male, Caucasian (North American)
n000255, Alex Ferguson, male, Caucasian (European)
n000256, Alex Fevola, female, Caucasian (Australian)
n000257, Alex Gaskarth, male, Caucasian (North American)
n000258, Alex Gibney, male, Caucasian (North American)
n000259, Alex Gonzaga, female, Hispanic
n000260, Alex Lundqvist, male, Caucasian (European)
n000262, Alex Morgan, female, Caucasian (North American)
n000264, Alex OLoughlin, male, Caucasian (Australian)
n000265, Alex Oxlade-Chamberlain, male, African
n000266, Alex Salmond, male, Caucasian (European)
n000267, Alex Song, male, African
n000268, Alex Turner, male, Caucasian (European)
n000269, Alex van Warmerdam, male, Caucasian (European)
n000270, Alexa Chung, female, Caucasian (European)
n000271, Alexa Ray Joel, female, Caucasian (North American)
n000272, Alexa Vega, female, Hispanic
n000273, Alexander Dale Oen, male, Caucasian (European)
n000274, Alexander Dobrindt, male, Caucasian (European)
n000275, Alexander Fehling, male, Caucasian (European)
n000276, Alexander Gerst, male, Caucasian (European)
n000277, Alexander Klaws, male, Caucasian (European)
n000278, Alexander Majorov, male, Caucasian (European)
n000279, Alexander Merkel, male, Caucasian (European)
n000280, Alexander Morozevich, male, Caucasian (European)
n000281, Alexander Payne, male, Caucasian (North American)
n000282, Alexander Skarsg�rd, male, Caucasian (European)
n000283, Alexandr Dolgopolov, male, Caucasian (European)
n000284, Alexandra Edenborough, female, Caucasian (European)
n000286, Alexandra Lamy, female, Caucasian (European)
n000287, Alexandra Lara, female, Caucasian (European)
n000288, Alexandra Neldel, female, Caucasian (European)
n000289, Alexandra Paul, female, Caucasian (North American)
n000290, Alexandra Socha, female, Caucasian (North American)
n000291, Alexandra Wentworth, female, Caucasian (North American)
n000292, Alexandre Bilodeau, male, Caucasian (North American)
n000294, Alexandre Lacazette, male, African
n000295, Alexandre Pato, male, Hispanic
n000296, Alexei Kudrin, male, Caucasian (European)
n000297, Alexis Bledel, female, Caucasian (North American)
n000298, Alexis Georgoulis, male, Caucasian (European)
n000299, Alexis Jordan, female, African American
n000300, Alexis S�nchez, male, Hispanic
n000302, Alexis Tsipras, male, Caucasian (European)
n000303, Alexis Vald�s, male, Hispanic
n000304, Ale� Brichta, male, Caucasian (European)
n000305, Alfie Allen, male, Caucasian (European)
n000306, Alfie Boe, male, Caucasian (European)
n000307, Alfonso Bassave, male, Hispanic
n000308, Alfonso Guerra, male, Hispanic
n000309, Alfonso Herrera, male, Hispanic
n000310, Alfonso Portillo, male, Hispanic
