video_path,speaker,emotion,gender,ethnicity
id00012/21Uxsk56VDQ/00001,id00012,0,male,Caucasian (North American)
id00012/21Uxsk56VDQ/00002,id00012,0,male,Caucasian (North American)
id00012/21Uxsk56VDQ/00007,id00012,2,male,Caucasian (North American)
id00012/2DLq_Kkc1r8/00018,id00012,0,male,Caucasian (North American)
id00012/C_FAL9gv8bo/00023,id00012,2,male,Caucasian (North American)
id00012/Gf-KDRnkBw8/00032,id00012,2,male,Caucasian (North American)
id00012/OuYBFCAc6GE/00074,id00012,2,male,Caucasian (North American)
id00012/Pdni5zyZJYA/00079,id00012,3,male,Caucasian (North American)
id00012/Pdni5zyZJYA/00080,id00012,2,male,Caucasian (North American)
id00012/UiPa-HfABJQ/00089,id00012,3,male,Caucasian (North American)
id00012/UiPa-HfABJQ/00090,id00012,0,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00092,id00012,0,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00093,id00012,2,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00094,id00012,2,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00096,id00012,2,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00098,id00012,0,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00102,id00012,2,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00105,id00012,2,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00107,id00012,0,male,Caucasian (North American)
id00012/Z-G8-wqpxwU/00109,id00012,2,male,Caucasian (North American)
id00012/aE4Om0EEiuk/00115,id00012,2,male,Caucasian (North American)
id00012/aE4Om0EEiuk/00116,id00012,2,male,Caucasian (North American)
id00012/aE4Om0EEiuk/00117,id00012,0,male,Caucasian (North American)
id00012/aE4Om0EEiuk/00121,id00012,0,male,Caucasian (North American)
id00012/aE4Om0EEiuk/00122,id00012,2,male,Caucasian (North American)
id00012/aE4Om0EEiuk/00123,id00012,0,male,Caucasian (North American)
id00012/clK27q0FqLs/00125,id00012,0,male,Caucasian (North American)
id00012/dGBIDj-zRuU/00128,id00012,2,male,Caucasian (North American)
id00012/dGBIDj-zRuU/00129,id00012,0,male,Caucasian (North American)
id00012/dGBIDj-zRuU/00131,id00012,0,male,Caucasian (North American)
id00012/dGBIDj-zRuU/00132,id00012,2,male,Caucasian (North American)
id00012/dGBIDj-zRuU/00133,id00012,0,male,Caucasian (North American)
id00012/dGBIDj-zRuU/00135,id00012,0,male,Caucasian (North American)
id00012/dGBIDj-zRuU/00137,id00012,3,male,Caucasian (North American)
id00012/f0Zj2NjXeyE/00139,id00012,0,male,Caucasian (North American)
id00012/nRiPvNQ1GCQ/00140,id00012,0,male,Caucasian (North American)
id00012/nRiPvNQ1GCQ/00142,id00012,0,male,Caucasian (North American)
id00012/nRiPvNQ1GCQ/00143,id00012,0,male,Caucasian (North American)
id00012/nRiPvNQ1GCQ/00144,id00012,0,male,Caucasian (North American)
id00012/nRiPvNQ1GCQ/00145,id00012,0,male,Caucasian (North American)
id00012/nRiPvNQ1GCQ/00146,id00012,3,male,Caucasian (North American)
id00012/s7MiVWybRhg/00149,id00012,0,male,Caucasian (North American)
id00012/s7MiVWybRhg/00150,id00012,2,male,Caucasian (North American)
id00012/tqaasM16UxI/00153,id00012,0,male,Caucasian (North American)
id00012/tqaasM16UxI/00156,id00012,0,male,Caucasian (North American)
id00012/uCBekiUm-rE/00158,id00012,2,male,Caucasian (North American)
id00012/uCBekiUm-rE/00159,id00012,0,male,Caucasian (North American)
id00012/uCBekiUm-rE/00161,id00012,0,male,Caucasian (North American)
id00012/yi_qz725MjE/00163,id00012,0,male,Caucasian (North American)
id00012/yi_qz725MjE/00164,id00012,0,male,Caucasian (North American)
id00016/29NOrEy8ZY0/00007,id00016,0,male,Caucasian (European)
id00016/DxXD9zkX0ZI/00043,id00016,0,male,Caucasian (European)
id00016/JzAAqOOQiT4/00064,id00016,0,male,Caucasian (European)
id00016/MBYpjluBMn4/00066,id00016,2,male,Caucasian (European)
id00016/MBYpjluBMn4/00070,id00016,0,male,Caucasian (European)
id00016/MH_ZkvClo2I/00072,id00016,2,male,Caucasian (European)
id00016/MH_ZkvClo2I/00073,id00016,2,male,Caucasian (European)
id00016/NM9W9TeacGs/00074,id00016,0,male,Caucasian (European)
id00016/QUjU_iEoWEg/00080,id00016,1,male,Caucasian (European)
id00016/QUjU_iEoWEg/00081,id00016,0,male,Caucasian (European)
id00016/QUjU_iEoWEg/00082,id00016,0,male,Caucasian (European)
